[21.03.2016 | 23:06:58] Talorin.Goldberry: Welche Partei ist die AFV?
[21.03.2016 | 23:40:45] Talorin.Goldberry: Aja vielen dank
[21.03.2016 | 23:43:08] Talorin.Goldberry: Und weiter :D
[21.03.2016 | 23:43:21] Matze.Gamingtv: Bist du?
[21.03.2016 | 23:43:22] Talorin.Goldberry: Bin ich
[21.03.2016 | 23:43:32] Matze.Gamingtv: Ls Hafen
[21.03.2016 | 23:43:40] Matze.Gamingtv: Sollte bei dir ein Marker sein?
[21.03.2016 | 23:43:47] Matze.Gamingtv: Fahr mal Tanke
[21.03.2016 | 23:43:51] Matze.Gamingtv: Links
[21.03.2016 | 23:43:56] Matze.Gamingtv: Hinter dir
[21.03.2016 | 23:44:20] Matze.Gamingtv: Mach dir mal ein Konto
[21.03.2016 | 23:44:41] Matze.Gamingtv: Gemacht?
[21.03.2016 | 23:44:45] Talorin.Goldberry: ja
[21.03.2016 | 23:45:07] Matze.Gamingtv: Jetzt hast Geld
[21.03.2016 | 23:45:21] Talorin.Goldberry: Ui
[21.03.2016 | 23:45:23] Talorin.Goldberry: Ja
[21.03.2016 | 23:46:00] Matze.Gamingtv: Radar gekauft?
[21.03.2016 | 23:46:02] Talorin.Goldberry: Ja
[21.03.2016 | 23:46:08] Matze.Gamingtv: Dann hast ein Marker?
[21.03.2016 | 23:46:11] Matze.Gamingtv: Ein Roten in Ls?
[21.03.2016 | 23:46:23] Matze.Gamingtv: Am Hafen 
[21.03.2016 | 23:46:37] Talorin.Goldberry: Nö
[21.03.2016 | 23:46:46] Matze.Gamingtv: Warte mal
[21.03.2016 | 23:49:07] Matze.Gamingtv: Mach mal /chechausliefern
[21.03.2016 | 23:49:17] Talorin.Goldberry: 10 Fahrzeuge
[21.03.2016 | 23:49:26] Matze.Gamingtv: Jetzt ein Marker?
[21.03.2016 | 23:49:41] Talorin.Goldberry: Kein roter. Nein
[21.03.2016 | 23:49:55] Matze.Gamingtv: Ihrgend ein Marker unten bei Los Santos am Hafen?
[21.03.2016 | 23:50:06] Talorin.Goldberry: No
[21.03.2016 | 23:50:13] Matze.Gamingtv: Dann fahr einfach hin
[21.03.2016 | 23:50:21] Matze.Gamingtv: Ist immer dort die Trailer
[21.03.2016 | 23:50:35] Talorin.Goldberry: ok
[21.03.2016 | 23:50:39] Matze.Gamingtv: Dort stehen die Trailer immer
[21.03.2016 | 23:50:48] Matze.Gamingtv: Und die musst du zu mir nach Autofix bringen
[21.03.2016 | 23:51:07] Talorin.Goldberry: Nicht Ares?
[21.03.2016 | 23:51:15] Matze.Gamingtv: Sry ja meinte ich ja :D
[21.03.2016 | 23:52:09] Matze.Gamingtv: Stop
[21.03.2016 | 23:52:35] Matze.Gamingtv: Lass mich mal als Fahrer
[21.03.2016 | 23:52:59] Matze.Gamingtv: Immer ihr
[21.03.2016 | 23:52:59] Talorin.Goldberry: ahh
[21.03.2016 | 23:53:16] Matze.Gamingtv: Die werden nie wo anderst stehen
[21.03.2016 | 23:53:36] Matze.Gamingtv: Den musst du zu meiner Base bringen dann wirst du Bezahlt
[21.03.2016 | 23:53:49] Matze.Gamingtv: Aber nur wenn du in J ein Lohn eingestellt hast
[21.03.2016 | 23:54:05] Matze.Gamingtv: Nach 60 Min bekommst du den Lohn was du Verdient hast in der Zeit 
[21.03.2016 | 23:54:11] Matze.Gamingtv: Aber nur wenn du im Dienst warst
[21.03.2016 | 23:54:38] Talorin.Goldberry: Mensch ist das kompliziert zu merken
[21.03.2016 | 23:54:59] Matze.Gamingtv: Tja ist ja auch Roleplay
[21.03.2016 | 23:55:03] Matze.Gamingtv: Und kein Reallife :d
[21.03.2016 | 23:55:13] Matze.Gamingtv: Die Befehle sind aber unter F1 gelistet
[21.03.2016 | 23:58:30] /me Matze.Gamingtv: zeigt seinen Personalausweiß.
[21.03.2016 | 23:58:57] Talorin.Goldberry: Schönes DIng
[21.03.2016 | 23:59:04] Matze.Gamingtv: :D Danke
[21.03.2016 | 23:59:10] Matze.Gamingtv: Mit Tiefgarage
[21.03.2016 | 23:59:12] Matze.Gamingtv: :D
[21.03.2016 | 23:59:19] Matze.Gamingtv: Hab ich selber dort hin gebaut :d
[21.03.2016 | 23:59:37] Matze.Gamingtv: Auf dem Grundstück musst du /ausparken machen
[21.03.2016 | 23:59:41] Matze.Gamingtv: Andere seite
[22.03.2016 | 00:00:28] Matze.Gamingtv: Danke
[22.03.2016 | 00:00:31] Matze.Gamingtv: Noch 9 Trailer
[22.03.2016 | 00:00:35] Talorin.Goldberry: uff :D
[22.03.2016 | 00:01:56] Matze.Gamingtv: :D
[22.03.2016 | 00:01:58] Talorin.Goldberry: Ich mach heute früh weiter
[22.03.2016 | 00:02:11] Matze.Gamingtv: Oky
[22.03.2016 | 00:02:21] Talorin.Goldberry: Bis denne
[22.03.2016 | 00:02:57] /me Matze.Gamingtv: hat einen Kofferraum (Fahrzeug: Infernus) geöffnet.
[22.03.2016 | 00:49:08] Jay.Mcmillen: asd
[22.03.2016 | 00:52:56] Jay.Mcmillen: ( ͡⊙ ͜ʖ ͡⊙)
[22.03.2016 | 01:10:32] Ryan.McMillen: Jay.Mcmillen
[22.03.2016 | 01:16:29] /me Matze.Gamingtv: verwendet sein Verbandszeug.
[22.03.2016 | 01:36:48] Matze.Gamingtv: Heilen
[22.03.2016 | 01:50:11] Matze.Gamingtv: rechnung
[22.03.2016 | 12:15:50] Matze.Gamingtv: fschein Matze.Gamingtv 2 1000
[22.03.2016 | 12:33:28] Flroian.Salz: matze was ist das alles das ist ja mal so richtig geil
[22.03.2016 | 12:57:15] /me Talorin.Goldberry: hat einen Kofferraum (Fahrzeug: Huntley) geöffnet.
[22.03.2016 | 12:57:38] Talorin.Goldberry: Wie kann man autos kaufne
[22.03.2016 | 12:57:59] Talorin.Goldberry: Hab selten früher auf Vita gezockt
[22.03.2016 | 13:11:23] Talorin.Goldberry: Kann keine Tore der Feuerwehr öffnen
[22.03.2016 | 13:12:17] Matze.Gamingtv: Bist ja auch garnicht bei der Feuerwehr
[22.03.2016 | 13:12:32] Talorin.Goldberry: Unternehmen = Feuerwehr steht in der Tablist
[22.03.2016 | 13:14:24] Matze.Gamingtv: Merkwürdig
[22.03.2016 | 13:15:56] Talorin.Goldberry: Kann auch nicht in dienst
[22.03.2016 | 13:15:59] Matze.Gamingtv: Kann sein das die noch nicht ihr geht
[22.03.2016 | 13:19:00] Matze.Gamingtv: ich glaub die Fraktion war noch nicht fertig oder so ka
[22.03.2016 | 13:25:27] Matze.Gamingtv: Florian.Mrpacman
[22.03.2016 | 13:26:14] Talorin.Goldberry: Und wie kommt man an Unternehmensfahrzeuge?
[22.03.2016 | 13:28:50] Talorin.Goldberry: Wie kommt man an Unternehemsfahrzeuge
[22.03.2016 | 13:28:55] Matze.Gamingtv: Durch mich
[22.03.2016 | 13:29:07] Matze.Gamingtv: Du musst sie bei mir bestellen
[22.03.2016 | 13:29:24] Talorin.Goldberry: Ok. Und wie genau. einfach sagen ich brauch Karren?
[22.03.2016 | 13:29:29] Matze.Gamingtv: Jup
[22.03.2016 | 13:29:36] Talorin.Goldberry: Dann brauch ich paar :D
[22.03.2016 | 13:31:03] Matze.Gamingtv: Maxi
[22.03.2016 | 13:31:05] Talorin.Goldberry: Ja
[22.03.2016 | 13:31:13] Matze.Gamingtv: Mach mal mit dem Führerschein
[22.03.2016 | 13:31:19] Talorin.Goldberry: Okay
[22.03.2016 | 13:31:24] Matze.Gamingtv: Weißt schon wie?
[22.03.2016 | 13:31:25] Talorin.Goldberry: Muss aber mal lesen wie das geht
[22.03.2016 | 13:31:40] Matze.Gamingtv: Mit /fschein 
[22.03.2016 | 13:32:21] Matze.Gamingtv: Gehts?
[22.03.2016 | 13:32:37] Talorin.Goldberry: Den Namen mag er nicht
[22.03.2016 | 13:32:46] Florian.Mrpacman: hö
[22.03.2016 | 13:32:48] Matze.Gamingtv: Du musst Florian.Mrpacman
[22.03.2016 | 13:33:10] Talorin.Goldberry: Jetzt
[22.03.2016 | 13:33:34] Talorin.Goldberry: :/
[22.03.2016 | 13:33:38] Matze.Gamingtv: xD
[22.03.2016 | 13:33:44] Talorin.Goldberry: Ich will Autos :D
[22.03.2016 | 13:33:48] Matze.Gamingtv: Ok
[22.03.2016 | 13:34:14] Talorin.Goldberry: Wo sind die Intertrans Leute, wenn man sie braucht
[22.03.2016 | 13:34:16] Matze.Gamingtv: Bestellt
[22.03.2016 | 13:34:36] Talorin.Goldberry: Die Firma dankt
[22.03.2016 | 13:40:24] Talorin.Goldberry: Matze? sbx hat im Forum geschrieben, dass man das Script ohne Veröffentlichung ändern darf
[22.03.2016 | 13:40:44] Talorin.Goldberry: Und Sebihunter hat dies bestätigt, solang die Entwicker Anzeige bestehen bleibt
[22.03.2016 | 13:42:29] /me Florian.Mrpacman: zeigt seinen Personalausweiß.
[22.03.2016 | 13:44:22] Matze.Gamingtv: Maxi
[22.03.2016 | 13:44:24] Talorin.Goldberry: Ja
[22.03.2016 | 13:44:29] Matze.Gamingtv: Füherschein braucht er noch mal
[22.03.2016 | 13:45:12] Florian.Mrpacman: danke
[22.03.2016 | 13:45:19] Matze.Gamingtv: Ich auch alle wollen
[22.03.2016 | 13:45:24] Talorin.Goldberry: Ok
[22.03.2016 | 13:46:00] Matze.Gamingtv: Einen moment mit kommen
[22.03.2016 | 13:46:23] Matze.Gamingtv: nexsten
[22.03.2016 | 13:47:03] Matze.Gamingtv: Sind alle?
[22.03.2016 | 13:47:03] Talorin.Goldberry: Fertisch
[22.03.2016 | 13:47:06] Matze.Gamingtv: Danks
[22.03.2016 | 13:48:11] Florian.Mrpacman: talorin kannst du mir bitte noch denn lkw führerschein geben ?
[22.03.2016 | 13:48:22] Talorin.Goldberry: Ja
[22.03.2016 | 13:48:26] Florian.Mrpacman: danke 
[22.03.2016 | 13:48:53] Matze.Gamingtv: Maxi
[22.03.2016 | 13:48:55] Matze.Gamingtv: :D
[22.03.2016 | 13:49:01] Talorin.Goldberry: ahhhh
[22.03.2016 | 13:49:01] Matze.Gamingtv: Nicht deiner
[22.03.2016 | 13:49:04] Talorin.Goldberry: :(
[22.03.2016 | 13:49:47] Matze.Gamingtv: Wegen Bestellen brauch ich die namen
[22.03.2016 | 13:50:00] Talorin.Goldberry: Okay
[22.03.2016 | 13:54:30] Talorin.Goldberry: Was eine Unordnung hier :D
[22.03.2016 | 13:55:45] Florian.Mrpacman: hay 
[22.03.2016 | 13:56:15] Matze.Gamingtv: Maxi
[22.03.2016 | 13:56:22] Talorin.Goldberry: Wat
[22.03.2016 | 13:56:41] Talorin.Goldberry: Soll ich kurz Lieferant werden? :P
[22.03.2016 | 13:56:47] Matze.Gamingtv: Ja
[22.03.2016 | 13:56:50] Talorin.Goldberry: Ok
[22.03.2016 | 13:57:05] Talorin.Goldberry: Muss mir mal ne Übersicht erstellen, wo welche Base ist...
[22.03.2016 | 13:57:30] Matze.Gamingtv: Ihr komm
[22.03.2016 | 13:57:55] Matze.Gamingtv: Ohne LKW
[22.03.2016 | 13:57:57] Matze.Gamingtv: Komm Maxi
[22.03.2016 | 13:58:00] Talorin.Goldberry: Jo
[22.03.2016 | 13:58:01] Matze.Gamingtv: Du musst im Dienst sein
[22.03.2016 | 13:58:08] Talorin.Goldberry: Komme
[22.03.2016 | 13:58:28] Matze.Gamingtv: Kurz warten
[22.03.2016 | 13:59:17] Matze.Gamingtv: Komm Trailer Entpacken
[22.03.2016 | 14:00:56] Talorin.Goldberry: Nachschuuuub
[22.03.2016 | 14:01:47] Matze.Gamingtv: JoJo muss die Fahrzeuge erst mal finden von PD
[22.03.2016 | 14:02:26] Matze.Gamingtv: Ihr
[22.03.2016 | 14:02:46] Matze.Gamingtv: pack die gleich aus
[22.03.2016 | 14:02:57] Matze.Gamingtv: kac
[22.03.2016 | 14:02:59] Matze.Gamingtv: kacke
[22.03.2016 | 14:03:05] Talorin.Goldberry: hehah
[22.03.2016 | 14:04:16] Matze.Gamingtv: BITTE :/
[22.03.2016 | 14:04:30] Matze.Gamingtv: KACKE
[22.03.2016 | 14:04:36] Matze.Gamingtv: JUNGE :D
[22.03.2016 | 14:05:40] Talorin.Goldberry: Zeit ist Geld. :D
[22.03.2016 | 14:06:21] Florian.Mrpacman: ey
[22.03.2016 | 14:06:21] Matze.Gamingtv: Wie viel willst den von was?
[22.03.2016 | 14:06:30] Matze.Gamingtv: Denk dran du hast nur 500k Startkapital
[22.03.2016 | 14:06:39] Talorin.Goldberry: Wvl. kost denn die Karren
[22.03.2016 | 14:06:47] Matze.Gamingtv: Das kommt auf mich an :d
[22.03.2016 | 14:06:55] Talorin.Goldberry: Also ich sag einfach mal 5 Motorräder
[22.03.2016 | 14:07:12] Matze.Gamingtv: Rangers?
[22.03.2016 | 14:07:18] Talorin.Goldberry: Wie steigt das Kapital?
[22.03.2016 | 14:07:23] Talorin.Goldberry: Von allen 5
[22.03.2016 | 14:07:29] Matze.Gamingtv: Verhaftungen Strafzetteln
[22.03.2016 | 14:07:56] Talorin.Goldberry: Herr. Mrpackman bitte stellen Sie mal demnächst etwas an :D
[22.03.2016 | 14:08:32] Florian.Mrpacman: kein problem bin dafür bekannt
[22.03.2016 | 14:09:48] Matze.Gamingtv: Wie viele Rangers?
[22.03.2016 | 14:09:54] Matze.Gamingtv: Motoräder haben wir jetzt 5
[22.03.2016 | 14:10:07] Talorin.Goldberry: Auch 5
[22.03.2016 | 14:11:17] Matze.Gamingtv: Haben wir jetzt auch 5
[22.03.2016 | 14:11:24] Matze.Gamingtv: Nur noch Cheetah finden und Sentinel
[22.03.2016 | 14:11:31] Talorin.Goldberry: Meinen RP Namen hab ich übrigens von einem RPG Namens Creator :D
[22.03.2016 | 14:11:36] Matze.Gamingtv: :D
[22.03.2016 | 14:11:40] Talorin.Goldberry: Cheeta 3 Sentinel 4
[22.03.2016 | 14:11:49] Talorin.Goldberry: Kenn Sentinel gar nicht
[22.03.2016 | 14:15:08] Matze.Gamingtv: Maxi geh wieder Cop
[22.03.2016 | 14:16:52] Matze.Gamingtv: Maxi
[22.03.2016 | 14:16:56] Matze.Gamingtv: Du gehen wieder Cop
[22.03.2016 | 14:16:59] Matze.Gamingtv: Du Kaufen Autos
[22.03.2016 | 14:17:26] Talorin.Goldberry: Ok
[22.03.2016 | 14:17:36] Talorin.Goldberry: War afk- 
[22.03.2016 | 14:17:41] Talorin.Goldberry: Und jetzt?
[22.03.2016 | 14:17:53] Matze.Gamingtv: Geh als Cop in den Dienst
[22.03.2016 | 14:17:57] Matze.Gamingtv: Komm ehr
[22.03.2016 | 14:18:02] Matze.Gamingtv: zu mir und Kaufn Autos
[22.03.2016 | 14:20:01] Matze.Gamingtv: Drausen
[22.03.2016 | 14:20:29] Matze.Gamingtv: Wenn du im Dienst bis musst du selber normal nix zahlen
[22.03.2016 | 14:21:11] Matze.Gamingtv: Gehts nicht?
[22.03.2016 | 14:21:20] Talorin.Goldberry: Kein Window
[22.03.2016 | 14:21:51] Talorin.Goldberry: Motor geht an, aber Kaufen?
[22.03.2016 | 14:21:56] Matze.Gamingtv: mhm
[22.03.2016 | 14:24:04] Florian.Mrpacman: ich höre dich kurz im ts nicht meine ohren tuhen weh
[22.03.2016 | 14:25:20] Talorin.Goldberry: Gehört das Auto jetzt der Police?
[22.03.2016 | 14:26:10] Talorin.Goldberry: Den Enforcer vorne konnte ich kaufen
[22.03.2016 | 14:26:35] Matze.Gamingtv: Die anderen?
[22.03.2016 | 14:26:50] Talorin.Goldberry: Die hier nicht
[22.03.2016 | 14:26:53] Matze.Gamingtv: Im Autohaus
[22.03.2016 | 14:26:58] Matze.Gamingtv: Die blauen mal lassen
[22.03.2016 | 14:27:23] Matze.Gamingtv: Idiot :D
[22.03.2016 | 14:29:56] Talorin.Goldberry: So
[22.03.2016 | 14:30:07] Matze.Gamingtv: Bei den Blauen musst noch warten 
[22.03.2016 | 14:30:12] Talorin.Goldberry: Die gehören jetzt ja aber mir oder?
[22.03.2016 | 14:30:16] Talorin.Goldberry: Und nicht der Polizei
[22.03.2016 | 14:30:18] Matze.Gamingtv: Muss erst rausfinden why des ned geht
[22.03.2016 | 14:30:29] Matze.Gamingtv: Mach mal im Auto
[22.03.2016 | 14:30:40] Matze.Gamingtv: /autoanfirma
[22.03.2016 | 14:30:44] Matze.Gamingtv: Deinen Autos
[22.03.2016 | 14:30:48] Matze.Gamingtv: Nicht die
[22.03.2016 | 14:31:04] Talorin.Goldberry: ja
[22.03.2016 | 14:32:26] Florian.Mrpacman: matze kannst du mir ein cheetah bestellen
[22.03.2016 | 14:33:53] Florian.Mrpacman: diggah
[22.03.2016 | 14:34:43] Matze.Gamingtv: :D
[22.03.2016 | 14:35:12] Florian.Mrpacman: das macht mir angst
[22.03.2016 | 14:36:07] Talorin.Goldberry: Nur ein Test
[22.03.2016 | 14:37:27] Florian.Mrpacman: oha ich werde entführt
[22.03.2016 | 14:38:20] Talorin.Goldberry: Ich check das Script net
[22.03.2016 | 14:39:06] Florian.Mrpacman: ey lol
[22.03.2016 | 14:39:56] Florian.Mrpacman: hilfe
[22.03.2016 | 14:40:23] Florian.Mrpacman: würden sie mich bitte entfässeln ?
[22.03.2016 | 14:42:27] Talorin.Goldberry: Irgendwie will das einknasten nicht
[22.03.2016 | 14:42:42] Talorin.Goldberry: Rl ist besser als RP!
[22.03.2016 | 14:42:43] Florian.Mrpacman: brauche ich nicht sterne
[22.03.2016 | 14:42:45] Matze.Gamingtv: Du musst den ja erst mal Wanteds geben
[22.03.2016 | 14:43:15] Florian.Mrpacman: oha was habe ich gemacht 
[22.03.2016 | 14:43:15] Matze.Gamingtv: Mit /wlevel 0-6
[22.03.2016 | 14:43:38] Florian.Mrpacman: occh nö
[22.03.2016 | 14:43:52] Talorin.Goldberry: Ich wäre nicht nah genug an der Zelle
[22.03.2016 | 14:44:24] Matze.Gamingtv: :D
[22.03.2016 | 14:45:20] Matze.Gamingtv: Tiefgarage Autos
[22.03.2016 | 14:46:36] Matze.Gamingtv: Sry
[22.03.2016 | 14:46:38] Talorin.Goldberry: Was war dass denn jetzt
[22.03.2016 | 14:46:39] Talorin.Goldberry: :D
[22.03.2016 | 14:47:31] Matze.Gamingtv: Sirene ist normal / *
[22.03.2016 | 14:47:34] Matze.Gamingtv: Numped
[22.03.2016 | 14:48:29] Talorin.Goldberry: Der gehlrt mir nicht
[22.03.2016 | 14:48:45] Talorin.Goldberry: gehört mir nicht
[22.03.2016 | 14:49:03] Matze.Gamingtv: Der Polizei aber
[22.03.2016 | 14:49:12] Talorin.Goldberry: Achso ist schon übertragen
[22.03.2016 | 14:51:53] Talorin.Goldberry: Helis gibts wo
[22.03.2016 | 14:51:57] Matze.Gamingtv: Bei mir
[22.03.2016 | 14:52:04] Florian.Mrpacman: talorin 
[22.03.2016 | 14:52:12] Talorin.Goldberry: Was mit den anderen Autohäusern?
[22.03.2016 | 14:52:13] Talorin.Goldberry: Ja?
[22.03.2016 | 14:52:24] Florian.Mrpacman: kannst du mit marcel denn fühereschein machen
[22.03.2016 | 14:58:55] Matze.Gamingtv: Mach noch mal Füherschein
[22.03.2016 | 15:03:22] /me Matze.Gamingtv: verwendet sein Verbandszeug.
[22.03.2016 | 15:04:24] /me Florian.Mrpacman: zeigt seinen Personalausweiß.
[22.03.2016 | 15:04:27] /me Florian.Mrpacman: verwendet sein Verbandszeug.
[22.03.2016 | 15:10:18] Matze.Gamingtv: oel
[22.03.2016 | 16:00:23] /me Florian.Mrpacman: verwendet sein Verbandszeug.
[22.03.2016 | 16:11:45] Ryan.McMillen: ja hallo erstmaaaal
[22.03.2016 | 16:11:50] Ryan.McMillen: :D
[22.03.2016 | 16:11:51] Talorin.Goldberry: Hi
[22.03.2016 | 16:11:57] Ryan.McMillen: Ich bräuchte den führerschein xD
[22.03.2016 | 16:12:02] Talorin.Goldberry: Einen Moment :D
[22.03.2016 | 16:12:04] Ryan.McMillen: Herr officer Goldberry
[22.03.2016 | 16:12:05] Ryan.McMillen: ( ͡° ͜ʖ ͡°)
[22.03.2016 | 16:12:12] Talorin.Goldberry: ( ͡° ͜ʖ ͡°)
[22.03.2016 | 16:12:13] Ryan.McMillen: AKA MaxiR
[22.03.2016 | 16:12:56] Ryan.McMillen: Ok, wo ist ein Geldautomat?
[22.03.2016 | 16:12:58] Ryan.McMillen: :D
[22.03.2016 | 16:13:42] Florian.Mrpacman: maxir 
[22.03.2016 | 16:13:45] Talorin.Goldberry: Ja
[22.03.2016 | 16:13:55] Ryan.McMillen: Ty mate
[22.03.2016 | 16:14:08] Florian.Mrpacman: kannst du nochmal denn führerschein für mein kollegen geben 
[22.03.2016 | 16:14:18] Talorin.Goldberry: Ja
[22.03.2016 | 16:14:22] Matze.Gamingtv: Maxi
[22.03.2016 | 16:14:26] Matze.Gamingtv: Auto musst noch Kaufen
[22.03.2016 | 16:14:30] Florian.Mrpacman: dem da bitte
[22.03.2016 | 16:14:41] Talorin.Goldberry: Das da
[22.03.2016 | 16:14:44] Matze.Gamingtv: Ja
[22.03.2016 | 16:16:23] Talorin.Goldberry: Noch einen Schein
[22.03.2016 | 16:16:25] Talorin.Goldberry: ?
[22.03.2016 | 16:20:34] Talorin.Goldberry: t
[22.03.2016 | 16:22:38] Matze.Gamingtv: InterTrans
[22.03.2016 | 16:23:47] Matze.Gamingtv: Falsch
[22.03.2016 | 16:23:51] Matze.Gamingtv: Andere seite lang
[22.03.2016 | 16:24:11] Matze.Gamingtv: Links
[22.03.2016 | 16:24:15] Matze.Gamingtv: Rechts
[22.03.2016 | 16:24:26] Matze.Gamingtv: Genau dort
[22.03.2016 | 16:24:31] Talorin.Goldberry: ahh
[22.03.2016 | 16:25:31] Matze.Gamingtv: Ihr
[22.03.2016 | 16:27:58] Talorin.Goldberry: In Camels Toe ist irgendwas passiert steht im Chat... Müsste nur noch wissen wo des ist :D
[22.03.2016 | 16:28:06] Matze.Gamingtv: :D
[22.03.2016 | 16:28:12] Matze.Gamingtv: Wirt dir Makiert mit ein Dreieck
[22.03.2016 | 16:28:54] Talorin.Goldberry: Die Pyramide ist des
[22.03.2016 | 16:29:11] Matze.Gamingtv: Dann liegt da eine persohn
[22.03.2016 | 16:29:15] Matze.Gamingtv: die du anklicken musst
[22.03.2016 | 16:29:19] Matze.Gamingtv: Person
[22.03.2016 | 16:29:35] Talorin.Goldberry: ...
[22.03.2016 | 16:30:23] Matze.Gamingtv: :D
[22.03.2016 | 16:30:38] Matze.Gamingtv: Sollte normal die Feuerwehr so was machen xD
